iter	Passed	Remaining
564	2695	2075
565	2698	2068
566	2702	2063
567	2704	2057
568	2706	2050
569	2709	2043
570	2711	2036
571	2713	2030
572	2717	2025
573	2719	2018
574	2722	2011
575	2724	2005
576	2726	1998
577	2728	1992
578	2732	1986
579	2734	1980
580	2736	1973
581	2739	1967
582	2741	1960
583	2743	1954
584	2747	1948
585	2749	1942
586	2751	1935
587	2753	1929
588	2755	1923
589	2758	1917
590	2763	1912
591	2766	1906
592	2769	1900
593	2771	1894
594	2773	1887
595	2777	1882
596	2780	1876
597	2784	1871
598	2786	1865
599	2788	1859
600	2796	1856
601	2799	1850
602	2801	1844
603	2803	1838
604	2807	1832
605	2809	1826
606	2811	1820
607	2813	1814
608	2815	1807
609	2817	1801
610	2819	1795
611	2823	1789
612	2825	1783
613	2827	1777
614	2829	1771
615	2830	1764
616	2832	1758
617	2834	1752
618	2837	1746
619	2840	1740
620	2842	1734
621	2843	1728
622	2846	1722
623	2848	1716
624	2850	1710
625	2854	1705
626	2856	1699
627	2858	1693
628	2860	1686
629	2862	1680
630	2863	1674
631	2866	1669
632	2869	1663
633	2871	1657
634	2873	1651
635	2875	1645
636	2877	1639
637	2879	1634
638	2884	1629
639	2886	1623
640	2888	1617
641	2890	1611
642	2892	1605
643	2893	1599
644	2898	1595
645	2900	1589
646	2902	1583
647	2903	1577
648	2906	1572
649	2908	1566
650	2912	1561
651	2914	1555
652	2916	1549
653	2918	1543
654	2919	1538
655	2921	1532
656	2923	1526
657	2926	1520
658	2928	1515
659	2930	1509
660	2932	1503
661	2934	1498
662	2936	1492
663	2938	1487
664	2942	1482
665	2944	1476
666	2946	1471
667	2948	1465
668	2951	1460
669	2952	1454
670	2956	1449
671	2958	1444
672	2960	1438
673	2962	1433
674	2964	1427
675	2966	1422
676	2969	1416
677	2972	1411
678	2974	1406
679	2975	1400
680	2978	1394
681	2979	1389
682	2981	1383
683	2984	1378
684	2987	1373
685	2989	1368
686	2991	1362
687	2993	1357
688	2995	1352
689	2997	1346
690	3001	1341
691	3002	1336
692	3004	1331
693	3007	1325
694	3008	1320
695	3010	1314
696	3012	1309
697	3016	1305
698	3019	1300
699	3021	1294
700	3023	1289
701	3025	1284
702	3028	1279
703	3031	1274
704	3033	1269
705	3035	1264
706	3037	1258
707	3039	1253
708	3041	1248
709	3043	1243
710	3046	1238
711	3048	1232
712	3050	1227
713	3051	1222
714	3054	1217
715	3057	1212
716	3061	1208
717	3063	1203
718	3064	1197
719	3066	1192
720	3068	1187
721	3070	1182
722	3072	1177
723	3076	1172
724	3078	1167
725	3080	1162
726	3081	1157
727	3085	1152
728	3086	1147
729	3091	1143
730	3093	1138
731	3095	1133
732	3096	1128
733	3099	1123
734	3100	1117
735	3102	1112
736	3106	1108
737	3108	1103
738	3110	1098
739	3113	1093
740	3115	1088
741	3117	1084
742	3120	1079
743	3123	1074
744	3125	1069
745	3128	1065
746	3132	1060
747	3134	1055
748	3136	1051
749	3138	1046
750	3140	1041
751	3142	1036
752	3146	1032
753	3149	1027
754	3150	1022
755	3152	1017
756	3154	1012
757	3156	1007
758	3158	1002
759	3161	998
760	3164	993
761	3166	989
762	3169	984
763	3172	979
764	3174	975
765	3177	970
766	3179	965
767	3181	961
768	3183	956
769	3185	951
770	3186	946
771	3188	941
772	3191	937
773	3194	932
774	3196	927
775	3198	923
776	3200	918
777	3202	913
778	3203	908
779	3207	904
780	3209	899
781	3210	895
782	3212	890
783	3214	885
784	3215	880
785	3217	876
786	3221	871
787	3224	867
788	3226	862
789	3227	858
790	3229	853
791	3231	848
792	3236	844
793	3240	840
794	3242	836
795	3244	831
796	3246	827
797	3248	822
798	3252	818
799	3254	813
800	3255	808
801	3257	804
802	3260	799
803	3262	795
804	3263	790
805	3268	786
806	3270	782
807	3271	777
808	3273	772
809	3275	768
810	3277	763
811	3279	759
812	3282	755
813	3285	750
814	3286	746
815	3289	741
816	3291	737
817	3293	732
818	3296	728
819	3299	724
820	3301	719
821	3303	715
822	3305	710
823	3307	706
824	3311	702
825	3313	698
826	3315	693
827	3318	689
828	3320	684
829	3321	680
830	3326	676
831	3330	672
832	3332	668
833	3334	663
834	3336	659
835	3337	654
836	3339	650
837	3342	646
838	3343	641
839	3345	637
840	3346	632
841	3348	628
842	3349	623
843	3350	619
844	3352	614
845	3353	610
846	3356	606
847	3358	601
848	3359	597
849	3361	593
850	3362	588
851	3363	584
852	3365	579
853	3366	575
854	3368	571
855	3370	566
856	3372	562
857	3373	558
858	3375	554
859	3376	549
860	3377	545
861	3379	541
862	3380	536
863	3382	532
864	3383	528
865	3386	523
866	3387	519
867	3389	515
868	3390	511
869	3391	506
870	3393	502
871	3394	498
872	3396	494
873	3397	489
874	3399	485
875	3402	481
876	3403	477
877	3405	473
878	3406	468
879	3407	464
880	3409	460
881	3410	456
882	3411	452
883	3413	447
884	3415	443
885	3417	439
886	3419	435
887	3421	431
888	3423	427
889	3425	423
890	3427	419
891	3428	415
892	3431	411
893	3433	407
894	3434	402
895	3435	398
896	3437	394
897	3438	390
898	3440	386
899	3442	382
900	3444	378
901	3447	374
902	3448	370
903	3450	366
904	3451	362
905	3453	358
906	3454	354
907	3456	350
908	3458	346
909	3459	342
910	3463	338
911	3464	334
912	3466	330
913	3467	326
914	3470	322
915	3472	318
916	3474	314
917	3479	310
918	3481	306
919	3484	302
920	3485	299
921	3487	295
922	3488	291
923	3491	287
924	3493	283
925	3495	279
926	3497	275
927	3499	271
928	3500	267
929	3501	263
930	3503	259
931	3506	255
932	3508	251
933	3510	248
934	3511	244
935	3513	240
936	3515	236
937	3516	232
938	3518	228
939	3520	224
940	3522	220
941	3524	216
942	3526	213
943	3527	209
944	3529	205
945	3531	201
946	3533	197
947	3537	194
948	3538	190
949	3540	186
950	3542	182
951	3543	178
952	3545	174
953	3546	171
954	3548	167
955	3550	163
956	3552	159
957	3554	155
958	3556	152
959	3557	148
960	3560	144
961	3562	140
962	3563	136
963	3566	133
964	3568	129
965	3570	125
966	3571	121
967	3573	118
968	3574	114
969	3576	110
970	3577	106
971	3579	103
972	3581	99
973	3584	95
974	3585	91
975	3587	88
976	3590	84
977	3591	80
978	3592	77
979	3594	73
980	3597	69
981	3598	65
982	3600	62
983	3601	58
984	3603	54
985	3605	51
986	3606	47
987	3608	43
988	3609	40
989	3612	36
990	3613	32
991	3615	29
992	3616	25
993	3618	21
994	3620	18
995	3621	14
996	3623	10
997	3627	7
998	3629	3
999	3630	0
